screen,social,gaming,unlocks,night,session
136,25,26,49,9,4
62,32,33,24,29,3
129,20,26,48,17,5
131,21,16,41,17,4
86,19,23,23,16,5
68,41,24,39,25,2
121,25,6,23,7,4
96,17,5,37,14,2
110,47,23,23,7,4
103,21,32,46,16,4
83,33,28,36,11,2
138,37,21,31,26,3
118,17,25,41,7,1
91,37,27,36,24,5
147,45,20,29,13,4
111,35,6,41,3,5
121,17,16,20,0,2
117,59,19,41,0,5
111,37,19,45,18,2
71,37,21,43,15,5
98,46,27,46,13,1
61,50,39,37,20,1
62,45,6,37,15,1
115,36,0,33,4,1
140,26,31,34,8,1
118,18,12,48,25,1
61,42,29,31,29,2
61,29,22,23,27,4
113,22,18,46,1,5
146,37,31,22,17,1
60,57,29,39,5,2
78,38,28,48,8,2
61,22,28,31,0,2
112,55,29,26,8,4
103,44,15,48,24,5
149,15,39,30,15,4
91,27,18,20,12,3
129,14,17,25,8,2
91,56,0,34,20,3
127,34,13,34,12,1
114,11,1,38,8,1
134,19,27,30,10,4
115,39,29,45,3,5
76,59,37,42,1,3
97,54,3,45,28,5
83,14,0,21,5,4
128,42,7,33,13,1
129,10,28,21,3,5
145,27,38,48,5,5
70,41,2,23,18,1
75,56,31,36,5,3
132,58,9,22,1,1
118,20,9,32,17,5
129,30,18,28,12,3
139,35,33,26,8,3
62,34,32,34,22,1
79,31,22,42,18,5
118,36,27,48,12,4
95,58,31,48,10,5
78,22,6,30,0,2
149,42,28,39,23,4
126,43,7,21,29,3
78,50,0,34,21,4
79,44,2,33,6,3
130,10,23,39,24,3
111,30,22,41,20,4
92,57,7,30,14,3
99,15,36,46,0,3
98,37,2,22,11,2
141,26,32,36,25,5
60,14,27,49,6,5
70,40,7,31,14,2
116,14,33,43,20,4
148,47,34,47,18,1
109,12,31,48,27,1
82,32,23,40,28,1
90,46,13,34,24,2
101,46,31,35,0,2
66,19,15,24,16,3
75,19,3,46,16,1
149,28,36,39,2,4
119,26,20,25,11,4
61,30,13,38,5,1
60,23,30,44,25,1
107,18,17,24,10,1
71,55,6,22,2,2
128,10,9,46,7,2
96,54,6,20,13,2
91,22,32,45,13,5
68,13,22,47,9,4
78,10,20,25,1,4
107,58,18,34,13,3
139,49,18,21,8,2
62,41,35,48,2,5
79,43,28,22,20,5
83,37,17,36,25,4
113,40,1,44,7,2
92,17,0,43,15,3
83,48,4,31,1,2
134,35,19,37,5,1
131,43,10,34,27,2
95,12,1,31,20,1
97,59,2,35,28,1
143,21,22,46,25,3
148,10,11,27,24,4
84,53,19,47,11,2
77,14,4,33,4,1
141,39,36,44,1,2
125,39,37,36,15,4
113,26,29,48,4,4
94,57,8,40,14,5
139,56,33,27,11,4
120,32,34,34,3,3
100,24,21,46,14,1
92,46,23,33,10,5
127,30,16,37,15,3
92,23,9,39,22,2
73,11,29,26,5,1
80,20,22,22,13,4
107,48,31,48,17,1
79,47,16,31,11,2
67,43,16,40,26,5
66,47,13,43,10,5
126,59,8,47,12,5
76,43,39,45,20,4
92,27,1,22,22,3
107,39,24,39,10,3
135,24,38,33,22,1
118,36,8,34,15,4
145,43,21,44,14,5
81,47,3,49,20,5
89,42,25,33,27,2
97,33,28,26,14,2
110,24,33,36,24,5
113,39,22,49,3,5
67,51,36,31,10,4
86,26,10,39,18,3
86,14,5,23,14,2
80,38,17,28,3,3
89,13,20,25,20,4
87,19,35,35,12,5
123,26,37,44,21,3
128,19,33,47,18,5
120,26,16,41,1,5
107,29,36,41,13,1
78,33,24,40,28,3
63,14,37,40,3,3
94,43,11,21,15,5
123,15,22,43,20,4
108,11,21,27,19,1
76,22,20,30,13,5
103,52,26,32,26,2
89,52,30,36,28,2
105,57,5,27,14,1
65,20,26,40,27,4
96,56,39,37,2,5
83,32,33,49,7,3
105,25,11,37,15,1
112,40,6,33,9,4
119,20,9,34,3,3
122,25,16,25,29,2
144,17,25,30,17,2
91,13,20,32,1,3
146,49,27,44,16,1
92,13,1,20,12,2
126,34,0,47,3,5
77,12,35,25,25,3
84,41,25,28,24,3
113,12,28,27,29,2
117,36,20,30,10,1
126,38,10,41,6,5
105,41,39,38,11,1
83,59,10,43,9,4
91,28,35,28,6,4
106,30,38,36,12,2
145,14,39,31,6,2
82,27,34,44,23,2
125,37,33,33,16,4
86,51,23,34,9,1
61,31,21,35,28,1
149,30,4,41,9,2
76,15,32,41,23,5
92,10,35,47,3,1
68,14,19,39,19,4
102,50,18,20,3,3
107,21,34,29,21,3
98,35,16,27,6,3
101,55,33,37,21,5
85,43,8,47,0,2
109,58,25,20,11,4
84,23,1,21,23,5
83,35,8,20,12,4
72,54,8,20,9,4
119,36,39,28,14,2
66,18,16,32,26,3
116,35,0,49,12,2
95,56,24,20,22,5
104,31,39,32,21,5
79,56,24,39,21,5
124,39,38,45,20,2
67,52,34,41,21,4
75,57,2,26,27,4
73,26,36,21,8,1
135,35,29,25,25,5
146,45,37,26,8,4
74,10,33,45,14,1
125,17,11,33,9,4
91,58,18,45,23,5
146,44,36,37,25,3
122,24,16,34,24,5
145,56,9,21,28,2
110,31,11,29,9,4
84,23,15,42,7,4
117,35,23,31,23,2
122,37,18,36,15,2
121,32,7,27,16,3
81,23,30,30,25,4
117,33,20,48,26,4
117,11,16,22,4,3
145,54,22,46,3,1
108,35,36,25,17,3
111,23,15,28,23,5
101,16,5,25,18,4
129,12,7,28,3,2
74,56,24,26,27,5
113,32,17,28,6,4
119,55,24,37,9,3
67,52,11,31,24,5
112,56,14,27,17,4
119,54,25,27,18,1
64,27,25,37,3,1
127,47,31,47,9,2
65,44,9,49,0,4
106,24,15,39,22,1
114,34,6,49,17,3
99,46,16,34,4,4
111,37,22,46,14,3
75,19,25,26,16,3
72,48,20,30,2,1
89,26,21,39,11,4
78,48,6,35,1,5
76,31,13,23,0,1
122,35,14,25,22,1
78,53,6,45,20,4
117,34,8,41,16,4
114,26,7,45,21,3
149,22,22,22,15,4
149,29,28,28,4,3
121,34,17,47,14,1
82,13,30,29,2,2
68,19,29,33,27,5
71,12,38,30,6,1
60,50,34,37,10,4
117,54,17,41,9,5
60,27,38,31,8,2
93,56,16,42,13,2
107,45,13,31,12,3
148,56,30,32,28,5
60,31,23,44,24,3
75,43,34,32,29,1
120,56,33,38,24,5
123,17,2,45,1,1
122,49,36,38,2,3
128,58,39,42,6,5
81,53,25,33,20,3
126,28,22,23,17,5
135,51,38,32,2,3
85,50,14,27,9,2
75,46,3,48,21,3
110,15,28,42,28,2
145,35,21,40,6,3
116,43,24,42,8,5
88,54,12,38,16,5
137,15,17,31,10,5
128,46,32,37,6,4
106,42,15,25,23,1
121,31,1,37,27,5
128,30,34,38,13,2
135,15,33,41,18,5
75,15,29,24,3,4
149,57,12,43,25,2
149,13,12,28,5,4
107,39,17,46,9,2
144,20,31,22,6,3
98,39,31,47,12,1
92,40,34,29,13,1
82,33,38,38,3,4
69,18,28,22,7,1
128,12,28,48,4,4
93,40,15,48,0,4
111,49,9,41,3,4
69,46,29,34,2,1
78,45,24,20,8,4
117,33,38,26,7,1
60,40,19,31,0,4
128,15,4,36,26,5
63,11,0,49,5,4
75,29,29,40,8,2
83,37,2,45,6,4
139,20,13,48,3,3
61,13,29,43,12,4
91,24,3,39,16,2
143,15,17,24,27,2
83,58,36,23,1,1
71,39,24,47,27,5
109,47,0,31,4,4
94,11,14,49,11,1
92,24,8,39,26,5
92,20,14,47,20,4
120,17,23,43,7,3
110,35,3,37,5,4
102,54,11,36,7,2
71,53,36,38,17,2
126,14,36,28,2,3
124,15,5,23,21,1
92,35,38,45,11,5
99,13,23,40,28,4
133,28,10,21,25,2
102,29,12,23,2,1
103,42,33,21,21,3
88,29,24,34,5,2
347,120,97,92,42,10
342,72,65,64,61,8
348,111,84,93,65,7
319,101,59,99,66,8
327,120,91,70,55,10
341,115,62,62,51,8
256,90,49,92,33,9
257,113,98,70,60,6
220,80,50,75,47,8
281,137,80,77,67,9
268,70,80,89,53,6
330,132,44,69,52,11
286,93,97,77,51,7
248,82,40,97,31,10
346,80,56,78,60,11
314,120,61,95,40,7
288,86,73,72,57,11
284,93,95,62,75,5
327,88,84,69,61,11
339,106,80,97,34,9
316,77,68,60,67,6
326,97,43,86,39,11
270,74,44,67,69,8
285,86,50,76,75,7
232,105,95,68,53,11
280,88,90,65,64,6
260,133,60,84,73,9
260,80,74,98,77,5
297,123,51,87,52,7
227,114,65,92,46,10
242,116,90,96,30,6
285,81,58,68,60,10
216,90,84,77,60,6
297,80,99,80,71,6
297,74,46,61,71,9
264,125,86,97,63,9
273,89,94,99,38,9
284,110,46,95,51,11
204,115,65,96,42,8
201,81,79,74,54,6
221,139,44,87,77,7
311,86,60,77,47,10
256,88,53,93,41,9
265,95,43,81,69,11
273,117,62,70,46,9
297,121,81,72,44,10
343,139,59,63,71,10
311,124,54,81,44,6
324,144,89,66,44,9
285,102,91,83,68,10
275,131,84,63,42,8
287,92,68,87,46,8
237,84,47,74,61,9
258,96,80,60,38,11
337,144,87,62,69,10
298,133,58,73,49,6
262,120,87,97,55,6
248,122,78,60,56,11
231,147,85,97,50,6
334,120,67,97,47,5
220,116,85,80,42,9
219,73,96,88,45,6
326,76,66,64,38,8
267,104,43,69,41,10
309,117,97,87,73,7
315,142,54,80,67,11
342,141,74,66,48,7
319,114,76,62,36,6
278,141,40,79,64,7
315,88,42,78,77,7
291,132,86,94,47,5
213,107,63,63,45,8
324,136,66,64,68,11
257,128,79,60,33,8
227,138,75,63,54,5
225,82,73,71,61,5
312,116,68,86,69,7
265,130,63,82,42,9
330,100,63,84,74,10
243,149,81,80,46,10
296,91,43,83,78,7
241,112,42,84,66,10
205,136,73,91,35,5
222,123,96,91,48,8
288,79,88,64,42,10
322,111,62,95,55,11
346,133,92,98,43,7
250,90,95,75,60,9
210,149,91,92,33,7
211,145,62,80,68,6
273,135,84,68,37,7
207,110,44,65,54,5
240,93,70,94,42,8
284,104,92,98,61,8
271,125,80,81,67,11
254,99,96,64,67,10
336,126,96,82,57,5
246,116,99,76,59,6
342,104,93,71,32,5
303,88,45,82,57,7
241,77,76,75,32,5
259,95,96,62,74,5
211,140,49,89,63,11
329,99,79,81,45,6
206,76,46,68,51,7
279,136,78,88,61,9
330,134,77,96,67,11
308,105,60,82,37,9
202,94,59,72,37,11
226,106,42,91,35,8
313,70,90,82,43,11
306,84,61,76,61,10
239,106,86,99,64,5
328,82,43,80,39,8
207,77,67,61,32,6
300,74,51,96,41,9
323,129,77,65,78,11
306,142,90,77,60,5
300,70,75,89,58,6
203,105,86,81,34,10
309,104,80,92,54,6
218,135,44,89,70,5
231,132,52,76,60,10
336,92,62,91,50,6
211,78,97,73,49,10
338,103,89,69,68,11
245,115,69,95,51,11
318,147,76,93,33,5
215,73,64,68,42,5
328,99,87,87,74,10
262,144,66,70,71,7
308,141,90,73,79,8
318,72,53,98,78,6
220,83,96,78,49,6
212,129,87,74,42,7
203,146,98,87,46,7
301,114,86,83,65,7
258,103,93,67,62,9
327,114,75,68,30,9
226,130,78,92,44,10
268,85,55,92,42,9
224,135,95,78,46,11
330,109,61,62,53,11
296,86,60,69,37,5
224,103,93,99,79,10
347,85,60,60,56,6
325,129,47,88,74,8
332,135,88,93,52,5
208,135,55,72,75,6
315,82,98,60,37,6
333,125,94,93,37,10
259,100,70,88,55,7
320,103,81,72,76,7
338,108,49,88,42,5
307,136,71,98,68,7
307,77,98,83,66,6
330,147,73,85,78,7
275,124,48,76,57,9
229,96,56,66,54,7
220,122,50,72,45,6
233,108,71,64,31,10
240,134,49,85,47,5
250,86,61,62,46,8
281,99,96,66,59,7
257,122,56,98,68,11
274,82,43,60,42,11
222,90,87,76,61,6
327,88,91,84,79,8
349,122,86,62,58,8
216,88,64,74,75,9
268,126,98,88,59,8
307,94,60,91,47,11
338,100,76,85,42,10
293,124,77,75,72,6
214,92,88,84,50,6
290,101,40,87,59,7
232,131,64,68,50,7
324,143,90,60,77,7
215,79,75,88,46,11
265,141,56,81,69,11
246,123,80,75,48,11
347,121,63,66,44,11
323,89,41,73,38,11
200,101,79,88,39,11
286,83,54,78,73,10
327,119,71,78,60,11
266,97,78,61,52,8
203,122,98,74,59,8
246,93,45,62,62,9
237,148,40,70,38,10
342,91,86,89,76,7
220,99,62,99,30,5
256,132,97,77,73,11
316,73,78,61,64,9
245,146,96,91,40,5
341,128,56,67,63,8
344,77,73,81,45,9
238,81,98,65,38,9
336,100,80,71,61,6
298,147,68,99,44,8
276,103,48,95,41,8
314,144,52,74,62,10
333,145,45,87,74,9
290,118,45,77,43,11
297,148,59,61,37,8
319,126,91,72,37,9
245,95,92,74,56,10
237,87,42,79,41,11
341,107,56,88,30,10
299,119,88,88,72,6
271,77,51,62,69,11
234,110,87,78,71,9
346,75,86,62,40,8
229,138,84,73,68,8
277,113,94,99,72,9
283,133,40,63,60,9
312,98,56,70,46,9
224,97,42,90,62,7
287,80,65,91,61,11
213,134,54,86,58,8
301,88,75,89,50,11
349,78,71,61,50,10
282,96,71,68,69,8
309,103,43,87,52,7
330,113,57,90,35,9
218,137,88,93,51,6
227,84,58,74,79,9
270,120,82,84,67,9
262,82,91,95,66,7
272,118,74,67,74,11
323,139,79,68,37,8
318,125,53,96,70,9
320,145,97,98,78,8
218,120,72,91,64,5
341,106,53,76,40,10
319,86,73,94,53,11
260,127,94,96,78,8
229,98,43,78,50,6
208,102,63,88,31,10
263,129,98,66,69,6
319,124,68,87,48,9
251,79,58,68,68,10
288,116,45,87,57,8
341,92,96,65,46,10
252,90,72,88,35,9
277,82,88,76,48,7
240,102,79,75,67,11
267,93,58,82,57,6
207,80,92,90,31,9
201,86,40,62,67,7
304,137,44,80,66,10
324,116,66,85,33,10
309,94,55,95,51,9
285,142,45,96,55,8
319,90,79,81,78,10
326,81,52,71,72,8
215,106,87,72,65,8
261,111,74,70,42,11
312,86,58,75,61,8
211,117,51,67,46,5
234,97,55,99,70,11
210,110,98,99,65,7
263,116,82,61,75,7
249,87,49,89,48,10
348,147,64,89,64,10
268,140,59,71,75,8
247,82,70,69,69,11
219,82,43,70,57,11
300,100,83,74,30,5
336,71,62,75,71,8
267,85,41,76,47,5
234,78,95,85,77,8
264,142,61,61,69,6
207,107,90,71,62,6
244,144,96,85,41,9
286,123,76,82,37,8
275,125,47,77,53,11
275,114,46,91,45,10
246,103,53,97,79,7
214,78,95,62,33,9
304,77,94,97,67,10
346,76,42,62,73,6
225,105,89,89,56,8
251,87,55,60,38,9
292,72,94,89,76,8
349,97,58,91,45,6
220,139,90,87,41,9
250,113,57,80,60,6
237,90,91,72,53,5
219,97,55,86,43,6
331,123,47,95,74,11
254,123,99,66,54,11
291,134,72,81,63,8
227,90,88,69,32,7
203,82,51,98,53,6
349,126,92,74,71,10
275,118,50,74,38,11
266,123,44,63,55,7
285,79,66,91,49,5
290,122,51,82,69,9
304,113,56,65,39,9
200,116,45,83,48,11
271,122,72,79,32,7
286,143,44,96,53,11
205,115,96,79,34,9
344,82,67,71,32,6
260,106,53,92,56,7
211,93,44,87,45,8
205,71,93,67,78,6
226,83,95,60,44,6
335,79,98,96,64,6
323,104,72,81,41,8
305,94,89,65,70,5
292,72,87,80,73,10
308,86,80,91,55,11
298,81,58,94,76,9
341,123,61,74,63,11
234,93,44,64,52,7
283,98,98,65,60,5
255,112,41,84,79,7
340,94,69,99,49,11
248,129,86,88,41,9
245,134,78,66,52,8
312,97,43,99,33,11
335,85,72,72,52,6
242,116,52,97,77,11
347,127,59,77,77,6
323,145,93,61,30,8
296,96,46,67,54,11
289,122,54,70,31,5
238,111,62,92,59,5
284,128,53,97,32,7
261,116,62,86,50,8
305,103,58,79,54,5
306,106,93,71,49,11
253,75,68,90,78,8
325,76,95,86,51,9
208,94,59,91,50,6
287,102,68,69,62,11
236,124,63,62,67,6
248,127,57,86,44,6
240,76,49,94,75,8
216,126,80,90,44,8
287,81,96,74,75,7
220,85,47,75,54,6
250,149,65,72,50,7
258,112,68,94,53,6
240,146,49,70,34,7
238,76,56,80,35,7
340,120,41,70,78,9
210,142,45,89,72,7
346,101,97,94,77,8
338,144,44,81,73,7
276,77,67,97,76,6
326,141,80,90,52,7
245,114,44,73,33,5
244,128,57,83,56,10
200,73,65,91,47,6
307,136,59,95,50,5
218,98,80,91,57,6
275,98,88,74,64,8
271,97,66,94,51,10
308,146,88,62,69,10
211,148,51,75,52,8
244,113,46,64,32,10
289,73,98,80,69,8
302,78,42,69,79,5
207,74,49,78,39,9
290,125,73,84,54,6
286,119,64,63,78,8
283,144,74,88,37,6
281,84,55,78,40,5
345,101,41,61,34,9
267,97,99,69,74,5
326,91,63,84,66,10
281,86,49,79,74,6
346,128,77,78,67,11
283,140,61,82,58,9
312,126,65,83,34,10
275,95,82,70,38,9
321,94,94,93,77,10
342,79,78,87,31,5
240,114,66,64,30,8
201,80,68,64,69,6
228,146,86,80,59,7
304,122,77,71,40,7
250,141,59,63,57,5
274,137,66,79,73,6
209,97,80,97,41,6
341,144,93,84,68,5
250,134,59,73,55,6
317,118,83,70,42,8
320,116,58,91,37,5
238,121,59,70,57,8
227,123,74,77,59,6
202,129,86,86,38,5
283,126,41,77,68,6
316,116,69,82,60,5
201,100,92,70,50,6
292,115,73,80,76,8
330,95,61,64,63,11
343,74,42,82,60,8
293,121,45,84,54,6
239,144,54,69,41,5
201,123,66,81,30,7
280,102,49,78,51,8
211,119,48,60,69,8
264,107,72,66,66,10
254,96,71,63,76,7
244,84,87,60,30,6
300,130,45,74,30,11
261,90,80,99,71,5
248,115,98,71,71,10
326,138,75,81,50,6
222,75,98,81,44,9
237,107,99,76,46,11
227,131,41,88,51,8
220,131,68,73,67,9
306,147,43,79,64,8
345,143,40,92,74,8
298,115,58,74,45,9
318,82,65,71,37,11
272,72,64,99,76,9
321,75,49,79,46,6
229,77,92,89,46,10
307,113,54,97,55,10
297,102,98,62,42,9
231,144,61,87,46,6
278,146,90,85,67,10
240,119,87,89,46,6
262,80,60,72,77,6
222,97,98,72,43,8
303,139,95,61,74,10
274,110,61,96,35,10
247,85,75,97,64,8
256,137,73,61,75,9
317,117,69,95,43,8
299,125,64,85,76,10
323,133,84,70,37,10
233,128,67,67,44,11
206,131,40,99,56,9
255,145,88,81,42,8
264,80,84,79,78,5
246,87,43,67,60,5
347,88,46,88,64,9
218,124,88,99,35,8
345,95,48,85,34,8
325,75,75,89,51,6
338,73,58,76,78,10
248,98,40,79,52,7
312,128,49,75,54,11
237,86,75,66,63,9
263,112,48,75,55,7
268,149,84,86,76,7
335,135,85,82,34,9
315,103,81,83,55,8
264,77,71,68,49,9
230,82,71,94,35,7
331,77,45,79,35,10
312,134,87,96,79,11
308,112,77,76,47,11
268,108,56,90,33,10
319,128,49,67,46,10
287,113,89,74,43,8
266,78,66,90,43,5
274,106,93,89,42,9
244,143,89,79,36,11
203,105,74,98,73,10
306,97,91,71,44,9
250,111,98,76,48,11
249,112,60,89,72,10
205,111,64,88,76,11
258,135,67,78,73,8
324,124,86,70,64,5
342,141,54,93,46,5
229,117,43,66,64,10
321,91,68,93,48,11
324,96,98,79,49,8
236,136,48,97,65,6
323,82,66,83,64,9
300,114,65,69,61,9
234,79,58,91,77,7
286,78,95,74,73,8
333,123,67,96,69,11
217,96,56,79,53,7
312,103,82,62,46,10
228,70,96,96,36,11
276,101,80,99,72,7
258,140,81,67,79,5
325,136,89,99,30,9
344,89,59,82,64,11
308,104,84,99,61,7
221,147,79,70,65,5
267,86,78,67,42,8
268,87,88,88,35,7
248,114,92,89,43,10
340,122,62,69,66,10
308,137,86,98,77,10
285,134,71,87,44,11
252,70,91,95,76,9
434,236,186,124,141,10
532,256,159,122,122,16
428,245,121,111,111,10
469,226,162,133,94,11
552,295,189,135,107,11
494,236,196,136,127,14
421,298,174,102,126,19
593,206,173,108,153,16
572,252,124,117,99,10
468,240,147,142,168,19
488,194,142,134,131,10
471,237,137,133,137,10
528,264,140,140,133,15
571,196,144,113,171,11
486,284,187,103,176,10
495,199,139,128,105,15
474,233,196,140,143,11
566,240,116,144,124,15
453,283,187,149,117,19
487,240,156,114,91,17
556,286,101,127,102,11
453,258,195,141,130,18
415,206,161,115,169,17
498,180,187,111,148,19
419,170,108,104,158,10
445,239,167,133,142,16
594,189,180,141,134,19
592,261,116,100,109,15
526,194,149,138,113,15
457,226,193,131,150,15
580,236,139,125,147,15
510,297,157,116,116,19
528,250,174,147,115,16
480,266,184,126,96,12
593,241,120,123,131,15
556,294,117,134,136,12
483,177,154,145,142,16
469,174,128,141,148,16
407,207,123,138,127,17
428,190,173,125,158,11
511,283,116,148,176,18
578,224,117,137,142,14
560,187,141,122,104,18
530,283,183,121,115,19
587,224,144,103,137,14
562,291,181,148,108,16
596,215,116,108,98,18
507,152,172,103,153,13
508,266,113,106,143,11
419,248,148,122,140,18
472,168,128,101,128,11
566,295,194,148,93,12
403,265,103,123,92,19
418,274,181,139,153,11
501,237,119,130,118,12
572,184,146,146,100,15
570,150,108,130,147,12
540,275,176,146,164,19
540,238,178,139,116,17
587,293,126,147,110,15
584,296,114,142,128,16
485,174,191,133,135,10
451,165,118,123,155,12
510,222,189,148,125,12
580,278,151,125,164,11
508,191,125,115,171,16
485,296,188,146,154,18
442,229,125,112,152,13
599,253,125,114,124,14
599,295,145,126,120,12
441,183,191,103,117,18
489,238,148,115,90,13
514,274,181,129,114,14
425,194,195,143,132,10
550,283,152,129,173,11
442,170,102,135,156,18
476,271,165,102,152,11
555,219,196,121,140,14
536,245,141,148,91,17
419,254,118,121,171,12
583,197,116,149,153,15
438,188,132,149,163,13
578,180,175,148,158,16
411,159,148,111,98,19
582,179,155,120,91,12
410,167,162,103,123,15
553,237,102,130,149,19
441,274,148,143,150,18
554,222,154,130,120,19
410,164,125,122,99,10
437,153,198,119,165,12
497,158,171,114,125,11
570,258,151,122,174,17
418,286,199,127,138,16
591,281,106,115,159,11
533,165,145,136,138,15
573,292,145,120,92,12
515,248,199,114,163,17
512,270,115,116,94,19
569,201,123,149,179,12
464,218,160,136,150,19
498,154,153,112,174,18
471,169,161,118,179,10
586,228,100,129,115,14
451,295,148,144,161,12
517,260,124,117,94,15
574,151,109,113,104,19
519,242,179,135,105,11
406,162,115,135,90,18
410,153,157,119,105,15
502,258,171,118,126,16
460,223,128,144,92,14
467,244,191,143,141,18
552,254,105,106,136,10
539,157,115,143,102,14
553,216,119,103,169,19
501,259,179,133,144,15
509,158,170,101,110,16
539,266,177,104,155,13
570,160,142,109,143,10
450,248,125,131,116,17
516,191,189,141,127,19
564,290,177,140,179,13
445,269,170,112,147,12
452,290,132,138,151,16
487,161,125,104,135,11
520,186,144,109,178,17
412,223,183,109,100,15
488,222,162,137,161,16
524,201,166,126,97,14
517,279,151,120,160,18
453,205,167,107,153,14
584,209,125,100,110,14
515,172,174,127,161,12
517,252,101,148,152,10
403,189,113,138,174,11
474,213,129,113,153,17
448,234,148,120,109,10
406,238,111,129,97,16
509,180,189,120,147,14
521,169,143,148,135,12
410,279,132,108,120,16
491,162,112,116,98,18
581,271,177,104,104,11
572,252,187,130,115,17
422,255,197,139,99,18
427,268,125,137,118,12
510,219,120,142,169,11
456,248,127,118,125,16
425,231,147,135,173,14
552,224,199,149,126,14
453,267,139,132,175,19
428,233,165,112,160,14
496,218,172,113,112,13
563,208,186,132,130,14
413,275,178,128,169,13
477,260,176,142,117,15
434,211,122,148,137,13
429,293,180,135,127,11
491,277,147,143,120,18
416,254,101,109,103,11
594,217,183,130,162,18
557,164,119,105,177,19
